race_name,race_category,age_category,runner_name,time,overall_rank,category_rank
Pata Salada,10K,20-34,Alejandra ORTEGA,01:42:59,44,15
Pata Salada,10K,20-34,Xavier VILLENEUVE,01:44:10,46,16
Pata Salada,10K,20-34,Luis Alberto CASILLAS SUAREZ,01:44:11,47,17
Pata Salada,10K,20-34,Kate CUIN,01:44:24,48,18
Pata Salada,10K,20-34,Maximiliano HERRERA AVILA,01:46:39,50,19
Pata Salada,10K,20-34,Carolina SIERRA MATUS,01:51:01,62,20
Pata Salada,10K,20-34,Paulina GONZALEZ LUNA RUIZ,01:54:33,64,21
Pata Salada,10K,20-34,Brenda Yaneth RUEDA SUSTAITA,01:58:09,66,22
Pata Salada,10K,20-34,Heinar Misael ALVARADO GARCIA,02:00:10,67,23
Pata Salada,10K,20-34,Sofía Citlali BERUMEN SOLIS,02:00:18,68,24
Pata Salada,10K,20-34,Karla CARACHEO,02:00:52,70,25
Pata Salada,10K,20-34,Leonardo COVARRUBIAS GARCÍA,02:05:02,76,26
Pata Salada,10K,20-34,Anonymous __anon_1339,02:06:43,78,27
Pata Salada,10K,20-34,Fernando MANCILLA,02:08:34,81,28
Pata Salada,10K,20-34,Kenia Yuleny BARRERA RAMIREZ,02:09:13,84,29
Pata Salada,10K,20-34,Alondra ARELLANO RUIZ,02:09:51,86,30
Pata Salada,10K,20-34,Ana Cristina ROMERO COTA,02:14:51,99,31
Pata Salada,10K,20-34,Edwin HERNANDEZ,02:20:18,106,32
Pata Salada,10K,20-34,Alejandra VIZCAINO,02:22:17,109,33
Pata Salada,10K,20-34,Tania MELO SANDOVAL,02:24:51,111,34
Pata Salada,10K,20-34,Agnes Eyja GUNNARSDÓTTIR,02:26:13,112,35
Pata Salada,10K,20-34,Lina OROZCO,02:27:45,115,36
Pata Salada,10K,20-34,Montserrat GARCIA JIMENEZ,02:29:50,123,37
Pata Salada,10K,20-34,Abraham RAMIREZ RODRIGUEZ,02:31:06,125,38
Pata Salada,10K,20-34,Nallely Noemi RAMIREZ RODRIHUEZ,02:31:06,125,38
Pata Salada,10K,20-34,Daniel Alejandro HUERTA DE LUNA,02:36:09,133,40
Pata Salada,10K,20-34,Natalia De Jesús Jesús GRAJEDA CASTILLO,02:42:10,135,41
Pata Salada,10K,20-34,Andrea Marlene GRANADOS MARTINEZ,02:45:23,139,42
Pata Salada,10K,20-34,Perla Cecilia SALINAS CORONADO,02:55:00,147,43
Pata Salada,10K,20-34,Mayra Stefany RODRIGUEZ CARACHEO,03:12:43,151,44
Pata Salada,10K,35-39,Garston TREMBLAY,01:00:17,3,1
Pata Salada,10K,35-39,Juan Carlos BARAJAS,01:19:42,14,2
Pata Salada,10K,35-39,Otilia HERNANDEZ HERNANDEZ,01:21:45,15,3
Pata Salada,10K,35-39,Diego CHAVEZ,01:30:15,21,4
